Ten phong ban,Ma nhan vien,Ho ten nhan vien,Ngay sinh,Gioi tinh,Luong co ban,Tuoi,Luong moi,Ghi chu,Chuc vu
Nhan su,NV00001,Nhien Thi Nguyen,1986-12-09,Nu,9371925,38,10777714,Tăng lương 15%,Nhan vien
Marketing,NV00002,Nhat Nguyen,1970-06-19,Nam,18472046,55,21242853,Tăng lương 15%,Nhan vien
Ky thuat,NV00003,Quy co Xuan Bui,1990-09-11,Nu,19066049,34,21925956,Tăng lương 15%,Nhan vien
Ky thuat,NV00004,Lan Duong,1994-09-08,Nu,23079596,30,23079596,Không tăng lương,Nhan vien
Ke toan,NV00005,Dung Van Dang,1965-04-12,Nam,19733927,60,22694016,Tăng lương 15%,Nhan vien
Ky thuat,NV00006,Bao Van Tran,1971-02-17,Nam,14786047,54,17003954,Tăng lương 15%,Nhan vien
Ke toan,NV00007,Quy co Ha Bui,1972-01-20,Nu,10467293,53,12037387,Tăng lương 15%,Nhan vien
Ke toan,NV00008,Thanh Duong,1975-05-16,Nu,9703410,50,11158922,Tăng lương 15%,Nhan vien
Ky thuat,NV00009,Huong Duong,2001-12-25,Nam,6193729,23,6193729,Không tăng lương,Nhan vien
Nhan su,NV00010,Hoang Mai,2000-06-15,Nam,7994147,25,7994147,Không tăng lương,Nhan vien
Kinh doanh,NV00011,Bac Thanh Le,1991-04-07,Nam,14436326,34,16601775,Tăng lương 15%,Nhan vien
Ke toan,NV00012,Trong Vu,1967-02-05,Nu,23588405,58,27126666,Tăng lương 15%,Nhan vien
Ke toan,NV00013,Ha Xuan Le,1997-01-10,Nam,19010751,28,19010751,Không tăng lương,Nhan vien
Ky thuat,NV00014,Chi Xuan Pham,1986-10-06,Nam,28048497,38,32255772,Tăng lương 15%,Nhan vien
Ky thuat,NV00015,Hung Hoang,1976-04-21,Nu,15589023,49,17927376,Tăng lương 15%,Nhan vien
Ky thuat,NV00016,Quy ong Hung Tran,1997-01-04,Nam,26263852,28,26263852,Không tăng lương,Nhan vien
Marketing,NV00017,Ngoc Vu,1996-03-11,Nam,28776741,29,28776741,Không tăng lương,Nhan vien
Ke toan,NV00018,Nhat Huu Le,1984-04-02,Nam,7107124,41,8173193,Tăng lương 15%,Nhan vien
Ky thuat,NV00019,Quang Hai Dang,1988-10-28,Nam,9527819,36,10956992,Tăng lương 15%,Nhan vien
Nhan su,NV00020,Anh Tu Mai,2000-03-11,Nam,14769907,25,14769907,Không tăng lương,Nhan vien
Ke toan,NV00021,Nhat Tran,1999-04-18,Nu,16707743,26,16707743,Không tăng lương,Nhan vien
Marketing,NV00022,Anh Hoang Tran,1983-11-13,Nam,14669864,41,16870344,Tăng lương 15%,Nhan vien
Kinh doanh,NV00023,Phuong Duong,1990-07-27,Nu,22458082,34,25826794,Tăng lương 15%,Nhan vien
Marketing,NV00024,Tung Dang,1970-03-24,Nu,23680602,55,27232692,Tăng lương 15%,Nhan vien
Ke toan,NV00025,Nhien Duc Tran,1977-04-09,Nu,26221966,48,30155261,Tăng lương 15%,Nhan vien
Nhan su,NV00026,Chi Nhat Nguyen,1990-03-14,Nu,28920588,35,33258676,Tăng lương 15%,Nhan vien
Marketing,NV00027,Phuc Hoang,1978-03-22,Nu,24219310,47,27852206,Tăng lương 15%,Nhan vien
Ke toan,NV00028,Quy ong Bao Vu,1968-07-15,Nu,24849413,56,28576825,Tăng lương 15%,Nhan vien
Marketing,NV00029,Ba Lam Duong,1965-07-15,Nu,29021893,59,33375177,Tăng lương 15%,Nhan vien
Ke toan,NV00030,Minh Mai Bao Vu,1970-12-12,Nam,28065390,54,32275198,Tăng lương 15%,Nhan vien
Kinh doanh,NV00031,Quy co Van Duong,1995-04-13,Nu,12064325,30,12064325,Không tăng lương,Nhan vien
Marketing,NV00032,Ong Nhien Bui,1979-06-04,Nu,15421583,46,17734820,Tăng lương 15%,Nhan vien
Nhan su,NV00033,Nhat Dang,1984-09-10,Nam,27315126,40,31412395,Tăng lương 15%,Nhan vien
Ke toan,NV00034,Hanh Tran,1998-06-06,Nu,12275077,27,12275077,Không tăng lương,Nhan vien
Ky thuat,NV00035,Phuong Dang,1997-08-28,Nam,29043720,27,29043720,Không tăng lương,Nhan vien
Marketing,NV00036,Ngoc Nguyen,2000-05-05,Nu,6213379,25,6213379,Không tăng lương,Nhan vien
Ky thuat,NV00037,Co Hanh Bui,1969-09-19,Nu,12254457,55,14092626,Tăng lương 15%,Nhan vien
Ky thuat,NV00038,Hung Duc Duong,1990-11-27,Nam,5196112,34,5975529,Tăng lương 15%,Nhan vien
Ke toan,NV00039,Hong Dang,1993-12-03,Nu,19865698,31,22845553,Tăng lương 15%,Nhan vien
Marketing,NV00040,Kim The Tran,1993-11-01,Nam,6704598,31,7710288,Tăng lương 15%,Nhan vien
Ky thuat,NV00041,Bac Phuc Dang,1966-09-08,Nu,18046795,58,20753814,Tăng lương 15%,Nhan vien
Kinh doanh,NV00042,Quy ong Dung Dang,1995-04-09,Nu,15933916,30,15933916,Không tăng lương,Nhan vien
Marketing,NV00043,Vu Hai Pham,1993-09-18,Nu,23314831,31,26812056,Tăng lương 15%,Nhan vien
Ke toan,NV00044,Phuc Tran,1967-03-16,Nu,27896507,58,32080983,Tăng lương 15%,Nhan vien
Kinh doanh,NV00045,Nhat Quang Le,1995-03-14,Nam,16921449,30,16921449,Không tăng lương,Nhan vien
Ke toan,NV00046,Chi Nhat Le,1970-05-13,Nam,9680087,55,11132100,Tăng lương 15%,Nhan vien
Marketing,NV00047,Trong Mai Hoang,1995-01-30,Nu,8693201,30,8693201,Không tăng lương,Nhan vien
Nhan su,NV00048,Lam Tan Pham,1984-05-23,Nu,23558862,41,27092691,Tăng lương 15%,Nhan vien
Nhan su,NV00049,Hanh Hoang Nguyen,1998-04-17,Nu,27618740,27,27618740,Không tăng lương,Nhan vien
Ky thuat,NV00050,Lan Vu,1971-04-09,Nu,7688071,54,8841282,Tăng lương 15%,Nhan vien
Nhan su,NV00051,An Hoang,1997-07-30,Nam,7370958,27,7370958,Không tăng lương,Nhan vien
Kinh doanh,NV00052,Chi Anh Hoang,1980-03-16,Nam,27417705,45,31530361,Tăng lương 15%,Nhan vien
Marketing,NV00053,Co Huong Tran,1978-02-12,Nu,17086800,47,19649820,Tăng lương 15%,Nhan vien
Nhan su,NV00054,Lan Bui,1972-05-07,Nam,11386361,53,13094315,Tăng lương 15%,Nhan vien
Ke toan,NV00055,Bac Nam Vu,1999-12-07,Nam,8785162,25,8785162,Không tăng lương,Nhan vien
Ke toan,NV00056,Trong Phu Nguyen,2001-12-25,Nu,11015233,23,11015233,Không tăng lương,Nhan vien
Nhan su,NV00057,Co Vi Tran,1989-10-26,Nu,10579651,35,12166599,Tăng lương 15%,Nhan vien
Kinh doanh,NV00058,Nhat Phu Hoang,1984-06-01,Nam,28380939,41,32638080,Tăng lương 15%,Nhan vien
Nhan su,NV00059,Quy co Anh Vu,1995-08-30,Nam,28295147,29,28295147,Không tăng lương,Nhan vien
Ke toan,NV00060,Anh Duong,1977-03-27,Nu,5076032,48,5837437,Tăng lương 15%,Nhan vien
Ky thuat,NV00061,Bac Quang Hoang,2000-05-23,Nu,14906112,25,14906112,Không tăng lương,Nhan vien
Marketing,NV00062,Quang Vu,1985-12-13,Nu,13888054,39,15971262,Tăng lương 15%,Nhan vien
Ky thuat,NV00063,Hai Tri Tran,1971-08-14,Nu,14304368,53,16450023,Tăng lương 15%,Nhan vien
Ke toan,NV00064,Bac Khoa Pham,1964-07-30,Nu,13434821,60,15450044,Tăng lương 15%,Nhan vien
Kinh doanh,NV00065,Quy co Linh Le,2000-12-07,Nam,11234465,24,11234465,Không tăng lương,Nhan vien
Ke toan,NV00066,Chau Tran,1983-05-08,Nam,23522163,42,27050487,Tăng lương 15%,Nhan vien
Nhan su,NV00067,Chau Duc Bui,1969-11-30,Nam,14238959,55,16374803,Tăng lương 15%,Nhan vien
Ky thuat,NV00068,Thanh Bao Mai,1979-08-26,Nam,22334048,45,25684155,Tăng lương 15%,Nhan vien
Ky thuat,NV00069,Kim Thi Vu,1995-03-24,Nu,7454137,30,7454137,Không tăng lương,Nhan vien
Ke toan,NV00070,Anh Minh Pham,1970-12-23,Nu,26783786,54,30801354,Tăng lương 15%,Nhan vien
Kinh doanh,NV00071,Dung Mai,1981-04-24,Nam,25726201,44,29585131,Tăng lương 15%,Nhan vien
Kinh doanh,NV00072,Ba Ha Hoang,1999-09-20,Nam,16124149,25,16124149,Không tăng lương,Nhan vien
Kinh doanh,NV00073,Trong Dang,1998-06-13,Nam,26030501,27,26030501,Không tăng lương,Nhan vien
Ky thuat,NV00074,Nhien Tri Vu,1998-12-23,Nam,22826554,26,22826554,Không tăng lương,Nhan vien
Ke toan,NV00075,Khoa Thi Pham,1965-02-06,Nu,14636359,60,16831813,Tăng lương 15%,Nhan vien
Ke toan,NV00076,Hai Vu,1984-09-28,Nu,7586457,40,8724426,Tăng lương 15%,Nhan vien
Kinh doanh,NV00077,Trung Pham,1985-09-16,Nam,12433073,39,14298034,Tăng lương 15%,Nhan vien
Ky thuat,NV00078,Vu Hoang,1994-11-15,Nu,18205758,30,18205758,Không tăng lương,Nhan vien
Ke toan,NV00079,Thao Dang,1968-02-05,Nam,5638681,57,6484483,Tăng lương 15%,Nhan vien
Ky thuat,NV00080,Yen Nguyen,1979-11-19,Nam,18240640,45,20976736,Tăng lương 15%,Nhan vien
Marketing,NV00081,Hanh Duc Mai,1974-05-22,Nu,24030179,51,27634706,Tăng lương 15%,Nhan vien
Nhan su,NV00082,Anh Duc Vu,1988-08-15,Nu,21455741,36,24674102,Tăng lương 15%,Nhan vien
Nhan su,NV00083,Nam Xuan Le,1985-05-31,Nam,7400383,40,8510440,Tăng lương 15%,Nhan vien
Ky thuat,NV00084,An Tran,1972-05-06,Nam,25603580,53,29444117,Tăng lương 15%,Nhan vien
Ky thuat,NV00085,Quy co Nhat Duong,2001-02-22,Nam,9490016,24,9490016,Không tăng lương,Nhan vien
Ky thuat,NV00086,Chi Lan Nguyen,2000-06-30,Nam,12149928,24,12149928,Không tăng lương,Nhan vien
Kinh doanh,NV00087,Chi Lan Duong,2000-02-16,Nam,17475367,25,17475367,Không tăng lương,Nhan vien
Ke toan,NV00088,Minh Tran,1987-03-23,Nu,22585192,38,25972971,Tăng lương 15%,Nhan vien
Nhan su,NV00089,Ha Duc Mai,1975-01-05,Nu,6775867,50,7792247,Tăng lương 15%,Nhan vien
Nhan su,NV00090,Vu Mai Bao Le,1969-11-12,Nu,18076938,55,20788479,Tăng lương 15%,Nhan vien
Marketing,NV00091,Duong Bui,1967-12-02,Nam,24781042,57,28498198,Tăng lương 15%,Nhan vien
Ke toan,NV00092,Anh Nguyen,1995-06-06,Nam,11481862,30,11481862,Không tăng lương,Nhan vien
Ky thuat,NV00093,Bao Bui,2002-04-22,Nu,26842640,23,26842640,Không tăng lương,Nhan vien
Marketing,NV00094,Huy Duc Tran,1984-08-11,Nu,21519230,40,24747114,Tăng lương 15%,Nhan vien
Ky thuat,NV00095,Chi Tran,1985-08-13,Nu,7669949,39,8820441,Tăng lương 15%,Nhan vien
Kinh doanh,NV00096,Thao Vu,1995-02-15,Nu,24009307,30,24009307,Không tăng lương,Nhan vien
Ke toan,NV00097,Ong Trong Mai,1992-10-14,Nu,28664184,32,32963812,Tăng lương 15%,Nhan vien
Marketing,NV00098,Bao Dang,1967-03-12,Nam,11527794,58,13256963,Tăng lương 15%,Nhan vien
Ke toan,NV00099,Bao Pham,1991-10-15,Nam,19302276,33,22197617,Tăng lương 15%,Nhan vien
Ky thuat,NV00100,Khoa Le,1969-10-24,Nam,7563900,55,8698485,Tăng lương 15%,Nhan vien
Marketing,NV00101,Bao Huu Mai,1998-04-08,Nu,26861665,27,26861665,Không tăng lương,Nhan vien
Kinh doanh,NV00102,Nam Nguyen,1992-10-08,Nam,18277414,32,21019026,Tăng lương 15%,Nhan vien
Kinh doanh,NV00103,Thanh The Nguyen,1984-05-08,Nam,9751141,41,11213812,Tăng lương 15%,Nhan vien
Kinh doanh,NV00104,Dung Bui,1979-10-06,Nam,5051934,45,5809724,Tăng lương 15%,Nhan vien
Marketing,NV00105,Chi Bui,1997-07-27,Nu,10489068,27,10489068,Không tăng lương,Nhan vien
Marketing,NV00106,Hai Mai Bao Mai,1992-08-25,Nam,9987974,32,11486170,Tăng lương 15%,Nhan vien
Marketing,NV00107,Thao Le,1981-02-24,Nam,10355856,44,11909234,Tăng lương 15%,Nhan vien
Marketing,NV00108,Mai Mai,1979-11-04,Nu,26913660,45,30950709,Tăng lương 15%,Nhan vien
Ky thuat,NV00109,Bao Thi Dang,1966-10-22,Nam,10149105,58,11671471,Tăng lương 15%,Nhan vien
Kinh doanh,NV00110,Phuc Duc Tran,1981-02-23,Nam,23155196,44,26628475,Tăng lương 15%,Nhan vien
Nhan su,NV00111,Hanh Le,1974-08-06,Nu,29506430,50,33932394,Tăng lương 15%,Nhan vien
Marketing,NV00112,Duong Bui,1972-08-09,Nu,23238576,52,26724362,Tăng lương 15%,Nhan vien
Kinh doanh,NV00113,Ba Thanh Dang,1966-07-03,Nu,7232332,58,8317182,Tăng lương 15%,Nhan vien
Marketing,NV00114,Khoa Duc Hoang,1969-10-24,Nam,17730589,55,20390177,Tăng lương 15%,Nhan vien
Kinh doanh,NV00115,Quy co Vi Vu,1967-11-13,Nu,5552489,57,6385362,Tăng lương 15%,Nhan vien
Kinh doanh,NV00116,Chi Linh Nguyen,1998-02-17,Nam,18442261,27,18442261,Không tăng lương,Nhan vien
Kinh doanh,NV00117,Ba Linh Vu,1990-10-10,Nam,14061998,34,16171298,Tăng lương 15%,Nhan vien
Marketing,NV00118,Ha Vu,1999-03-29,Nam,14634482,26,14634482,Không tăng lương,Nhan vien
Ke toan,NV00119,Khoa Tran,1997-03-23,Nu,13160447,28,13160447,Không tăng lương,Nhan vien
Marketing,NV00120,Ba Chi Tran,1997-02-12,Nu,15111214,28,15111214,Không tăng lương,Nhan vien
Ky thuat,NV00121,Co Yen Mai,2000-06-16,Nu,14514801,25,14514801,Không tăng lương,Nhan vien
Kinh doanh,NV00122,Vu Pham,1964-10-25,Nam,22909936,60,26346426,Tăng lương 15%,Nhan vien
Ky thuat,NV00123,Nhat Mai Bao Hoang,1996-09-26,Nam,28000351,28,28000351,Không tăng lương,Nhan vien
Ke toan,NV00124,Linh Duong,1970-05-31,Nam,12485434,55,14358249,Tăng lương 15%,Nhan vien
Ky thuat,NV00125,Phuc Vu,1973-03-23,Nu,27101674,52,31166925,Tăng lương 15%,Nhan vien
Ke toan,NV00126,Ba Thao Dang,1987-06-06,Nu,6200964,38,7131109,Tăng lương 15%,Nhan vien
Nhan su,NV00127,Thanh Duc Bui,1975-05-12,Nu,21448479,50,24665751,Tăng lương 15%,Nhan vien
Kinh doanh,NV00128,Quy ong Trong Le,1992-03-03,Nu,29158438,33,33532204,Tăng lương 15%,Nhan vien
Ke toan,NV00129,Lam Bao Mai,1987-04-23,Nam,13868512,38,15948789,Tăng lương 15%,Nhan vien
Marketing,NV00130,Chi Lan Vu,1984-07-08,Nu,25732499,40,29592374,Tăng lương 15%,Nhan vien
Nhan su,NV00131,Hanh Dang,1979-01-12,Nu,19953004,46,22945955,Tăng lương 15%,Nhan vien
Ke toan,NV00132,Quy co Ha Duong,1994-07-14,Nu,8298054,30,8298054,Không tăng lương,Nhan vien
Ke toan,NV00133,Van Nguyen,1985-07-06,Nu,17776243,39,20442679,Tăng lương 15%,Nhan vien
Kinh doanh,NV00134,Chi Yen Le,1966-10-25,Nam,7154404,58,8227565,Tăng lương 15%,Nhan vien
Ky thuat,NV00135,Hai Tan Pham,2002-11-22,Nam,17060343,22,17060343,Không tăng lương,Nhan vien
Kinh doanh,NV00136,Ong Hoang Le,1965-09-06,Nu,15454472,59,17772643,Tăng lương 15%,Nhan vien
